ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E33080,個人（組合発行者を除く）,,,,,平川　幸治,,ヒラカワ　コウジ,,個人（組合発行者を除く）,,
E33081,個人（組合発行者を除く）,,,,,田中　裕輔,,タナカ　ユウスケ,,個人（組合発行者を除く）,,
E33082,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1300,,日本鐵板株式会社,,ニホンテッパンカブシキカイシャ,中央区日本橋１－２－５（榮太楼ビル）,内国法人・組合（有価証券報告書等の提出義務者以外）,,5010001062323
E33083,内国法人・組合（有価証券報告書等の提出義務者以外）,,,5,,公益財団法人エフテック奨学財団,,コウエキザイダンホウジンエフテックショウガクザイダン,久喜市菖蒲町昭和沼１９番地,内国法人・組合（有価証券報告書等の提出義務者以外）,,8030005018036
E33084,個人（組合発行者を除く）,,,,,三成　隆実,,ミツナリ　タカミ,,個人（組合発行者を除く）,,
E33087,内国法人・組合（有価証券報告書等の提出義務者以外）,,,24,,ソフトバンクグループジャパン株式会社,,ソフトバンクグループジャパンカブシキカイシャ,港区東新橋一丁目９番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4010401054854
E33088,外国法人・組合（有価証券報告書等の提出義務者以外）,,,129585,,Ｗｅｉｓｓ　Ａｓｓｅｔ　Ｍａｎａｇｅｍｅｎｔ　ＬＰ,,ウェイス　アセット　マネジメント　エルピー,アメリカ合衆国マサチューセッツ州ボストン、バークレー・ストリート２２２、スイート１６０１,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33090,個人（組合発行者を除く）,,,,,河野　貴輝,,カワノ　タカテル,,個人（組合発行者を除く）,,
E33091,個人（組合発行者を除く）,,,,,渡邊　和行,,ワタナベ　カズユキ,,個人（組合発行者を除く）,,
E33092,内国法人・組合（有価証券報告書等の提出義務者以外）,,,300,,株式会社フロンティア,,カブシキガイシャフロンティア,桑名市多度町下野代９００,内国法人・組合（有価証券報告書等の提出義務者以外）,,5190001019017
E33093,個人（組合発行者を除く）,,,,,前野　泰広,,マエノ　ヤスヒロ,,個人（組合発行者を除く）,,
