,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3672,3672,E05624,内国法人・組合,上場,有,3999.0,9月30日,株式会社ＬＩＦＵＬＬ,"LIFULL Co.,Ltd.",カブシキガイシャライフル,千代田区麹町１－４－４,サービス業,21200.0,1010401091628.0
3673,3673,E05625,内国法人・組合,上場,無,619.0,12月31日,株式会社ジェイエイシーリクルートメント,"JAC Recruitment Co., Ltd.",カブシキガイシャジェイエイシーリクルートメント,千代田区神田神保町一丁目１０５番地神保町三井ビルディング１４階,サービス業,21240.0,1010001019483.0
3674,3674,E05627,内国法人・組合,上場,無,250.0,12月31日,株式会社ハイパー,HYPER Inc.,カブシキガイシャハイパー,中央区日本橋堀留町二丁目９番６号,卸売業,30540.0,6010001026475.0
3675,3675,E05628,内国法人・組合,上場,有,3573.0,11月30日,スター・マイカ株式会社,"Star Mica Co., Ltd.",スターマイカカブシキガイシャ,港区虎ノ門四丁目３番１号,不動産業,32300.0,2010401057974.0
3676,3676,E05629,内国法人・組合,上場,有,1220.0,3月31日,株式会社日本Ｍ＆Ａセンター,Nihon M&A Center Inc.,カブシキガイシャニホンエムアンドエーセンター,千代田区丸の内一丁目８番２号,サービス業,21270.0,6010001033744.0
3677,3677,E05630,内国法人・組合,上場,有,828.0,8月31日,株式会社アクロディア,"Acrodea,Inc.",カブシキガイシャアクロディア,新宿区愛住町２２,情報・通信業,38230.0,7013201013779.0
3678,3678,E05631,内国法人・組合,上場,有,478.0,12月31日,日本和装ホールディングス株式会社,"NIHONWASOU HOLDINGS,INC.",ニホンワソウホールディングスカブシキガイシャ,千代田区丸の内一丁目２番１号,サービス業,24990.0,5010001111724.0
3679,3679,E05633,内国法人・組合,上場,無,537.0,9月30日,株式会社アルファクス・フード・システム,"Alphax Food System Co.,LTD",カブシキガイシャアルファクスフードシステム,宇部市西本町二丁目１４番３０号,情報・通信業,38140.0,1250001002936.0
3680,3680,E05635,内国法人・組合,上場,有,382.0,7月31日,株式会社大和コンピューター,"DAIWA COMPUTER CO., LTD.",カブシキガイシャダイワコンピューター,高槻市若松町３６番１８号,情報・通信業,38160.0,1120901011371.0
3681,3681,E05638,内国法人・組合,上場,無,750.0,3月31日,株式会社Ｍｉｎｏｒｉソリューションズ,"Minori Solutions Co.,Ltd.",カブシキガイシャ　ミノリソリューションズ,新宿区西新宿２丁目４番１号,情報・通信業,38220.0,7011101060388.0
